time,open,high,low,close,tick_volume,spread,real_volume
2021-09-17 01:00:00+00:00,1.17602,1.17648,1.176,1.17638,479,2,0
2021-09-17 01:30:00+00:00,1.17637,1.17681,1.17629,1.17672,534,2,0
2021-09-17 02:00:00+00:00,1.17671,1.17696,1.17662,1.17683,323,2,0
2021-09-17 02:30:00+00:00,1.17683,1.177,1.17681,1.17688,248,2,0
2021-09-17 03:00:00+00:00,1.17688,1.1773,1.17687,1.17728,263,2,0
2021-09-17 03:30:00+00:00,1.17728,1.17734,1.17702,1.1773,347,2,0
2021-09-17 04:00:00+00:00,1.1773,1.17743,1.17704,1.17705,370,2,0
2021-09-17 04:30:00+00:00,1.17707,1.17713,1.17677,1.17699,563,2,0
2021-09-17 05:00:00+00:00,1.17698,1.17746,1.1768,1.17717,818,2,0
2021-09-17 05:30:00+00:00,1.17716,1.17748,1.17693,1.17722,773,2,0
2021-09-17 06:00:00+00:00,1.1772,1.17848,1.17715,1.17821,1498,2,0
2021-09-17 06:30:00+00:00,1.1782,1.17826,1.17716,1.17727,976,2,0
2021-09-17 07:00:00+00:00,1.17731,1.17805,1.17683,1.17779,1091,2,0
2021-09-17 07:30:00+00:00,1.17778,1.17831,1.17739,1.1777,1123,2,0
2021-09-17 08:00:00+00:00,1.1777,1.17822,1.17738,1.17793,1225,2,0
2021-09-17 08:30:00+00:00,1.17793,1.17872,1.17764,1.17819,1400,2,0
2021-09-17 09:00:00+00:00,1.17817,1.17858,1.17794,1.17851,1079,2,0
2021-09-17 09:30:00+00:00,1.17851,1.1785700000000001,1.17786,1.17825,959,2,0
2021-09-17 10:00:00+00:00,1.17825,1.17836,1.17755,1.17773,889,2,0
2021-09-17 10:30:00+00:00,1.17774,1.17883,1.17768,1.17883,1019,2,0
2021-09-17 11:00:00+00:00,1.17885,1.17888,1.17788,1.17805,1283,2,0
2021-09-17 11:30:00+00:00,1.1780599999999999,1.17809,1.17725,1.17737,1131,2,0
2021-09-17 12:00:00+00:00,1.17736,1.17748,1.17559,1.17563,1613,2,0
2021-09-17 12:30:00+00:00,1.17563,1.17635,1.17507,1.17537,1785,2,0
2021-09-17 13:00:00+00:00,1.17537,1.17572,1.17411,1.17415,1876,2,0
2021-09-17 13:30:00+00:00,1.17416,1.17482,1.17342,1.17377,1888,2,0
2021-09-17 14:00:00+00:00,1.17378,1.17405,1.17289,1.17352,1631,2,0
2021-09-17 14:30:00+00:00,1.17349,1.17357,1.17286,1.17334,1165,2,0
2021-09-17 15:00:00+00:00,1.17336,1.17366,1.17311,1.17318,682,2,0
2021-09-17 15:30:00+00:00,1.17317,1.17348,1.1724700000000001,1.17255,686,2,0
2021-09-17 16:00:00+00:00,1.17256,1.17299,1.17244,1.17297,523,2,0
2021-09-17 16:30:00+00:00,1.17296,1.1732,1.17258,1.17269,599,2,0
2021-09-17 17:00:00+00:00,1.17269,1.17301,1.17253,1.1727400000000001,705,2,0
2021-09-17 17:30:00+00:00,1.1727400000000001,1.17295,1.17264,1.1729,562,2,0
2021-09-17 18:00:00+00:00,1.17291,1.17321,1.1729,1.17317,372,2,0
2021-09-17 18:30:00+00:00,1.17317,1.1732,1.17292,1.17303,479,2,0
2021-09-17 19:00:00+00:00,1.17303,1.17309,1.17257,1.17261,441,2,0
2021-09-17 19:30:00+00:00,1.17261,1.17267,1.17245,1.17255,405,2,0
2021-09-19 21:00:00+00:00,1.1728,1.17289,1.17232,1.17232,311,2,0
2021-09-19 21:30:00+00:00,1.17232,1.1727400000000001,1.17232,1.17268,572,2,0
2021-09-19 22:00:00+00:00,1.17268,1.17289,1.17261,1.17277,283,2,0
2021-09-19 22:30:00+00:00,1.17277,1.17293,1.17262,1.17292,181,2,0
2021-09-19 23:00:00+00:00,1.17292,1.17295,1.1724999999999999,1.17266,446,2,0
2021-09-19 23:30:00+00:00,1.17266,1.17266,1.17227,1.17236,285,2,0
2021-09-20 00:00:00+00:00,1.17236,1.17237,1.17197,1.17209,418,2,0
2021-09-20 00:30:00+00:00,1.17211,1.17218,1.17181,1.17183,452,2,0
2021-09-20 01:00:00+00:00,1.17183,1.17188,1.17111,1.17127,712,2,0
2021-09-20 01:30:00+00:00,1.17127,1.17139,1.17102,1.17122,633,2,0
2021-09-20 02:00:00+00:00,1.17118,1.1715,1.17112,1.17112,353,2,0
2021-09-20 02:30:00+00:00,1.17111,1.17129,1.17099,1.17106,331,2,0
2021-09-20 03:00:00+00:00,1.17106,1.17132,1.171,1.17129,243,2,0
